workerid,proliferate.condition,A_key,B_key,C1,C2,chosen_key,chosen_option,chosen_text,expected_key,expected_option,filler_type,group,item,item_feedback,item_list,list_assigned,raw_score,rt_ms,score_rel_expected,sentence,slide_number_in_experiment,slider_value,type,variant,catch_trials,list_assigned,subject_information.assess,subject_information.comments,subject_information.enjoyment,subject_information.experiment_about,subject_information.fairprice,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
185,list 13,C1,C2,The sofa couldn't be moved.,She also moved the sofa.,C2,B,She also moved the sofa.,C2,B,,Object,44,,13,13,1,11787,1,Caroline rearranged the chairs.,15,5,critical,neutral,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,There was no space left in the fridge.,She also left some on the counter.,C1,B,There was no space left in the fridge.,C1,B,,Adjunct,73,,13,13,2,4800,2,It was in the freezer that Chloe stored the leftovers.,16,6,critical,cleft,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,He needed something to stay awake.,Coffee is served in many cafés.,C1,B,He needed something to stay awake.,C1,B,clear,Filler,F07,,,13,3,4581,3,Jonas ordered a coffee.,17,7,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,A large group had made a reservation.,The restaurant has a long menu.,C1,B,A large group had made a reservation.,C1,B,clear,Filler,F08,,,13,3,4862,3,The restaurant was fully booked.,18,7,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,He carried it over his arm as he left the house.,It was a lightweight jacket he often carries in his bag.,C1,A,He carried it over his arm as he left the house.,C1,A,clear,Filler,F14,,,13,-2,7769,2,Max brought a jacket with him.,19,2,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,He didn't have any time to clean it.,He also cleaned it.,C2,A,He also cleaned it.,C1,B,,VP,28,,13,13,-2,9334,-2,It was annotating the dataset that Alex was engaged in.,20,2,critical,cleft,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,Someone had opened the back door.,The alarm system was recently installed.,C1,B,Someone had opened the back door.,C1,B,clear,Filler,F02,,,13,3,3404,3,The alarm went off unexpectedly.,21,7,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,There was a power outage in the area.,The shop sells clothing and shoes.,C1,A,There was a power outage in the area.,C1,A,clear,Filler,F05,,,13,-3,2767,3,The shop closed early that evening.,22,1,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,No one else in his family knew how to do it.,His sister helped him.,C2,A,His sister helped him.,C2,A,,Subject,14,,13,13,-3,6183,3,Albert set up the new TV.,23,1,critical,neutral,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,It had been shipped earlier than planned.,The delivery service operates every day.,C1,A,It had been shipped earlier than planned.,C1,A,clear,Filler,F10,,,13,-3,4597,3,The package arrived in the morning.,24,1,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,He attached the bookmark on top.,He wrapped the bookmark too.,C2,A,He wrapped the bookmark too.,C1,B,,Object,43,,13,13,-2,5311,-2,It was the book that Ray wrapped.,25,2,critical,cleft,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,He found the white ones too dull.,He added a stack of white ones too.,C1,B,He found the white ones too dull.,C2,A,,Adjective,59,,13,13,2,5712,-2,Tom placed colourful napkins on the table.,26,6,critical,neutral,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,She wanted to ask the teacher a question.,The classroom has large windows.,C1,B,She wanted to ask the teacher a question.,C1,B,clear,Filler,F06,,,13,3,4014,3,Mia stayed after class.,27,7,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,The neighbour signed for it at the door.,It was later placed in the hallway by the entrance.,C1,A,The neighbour signed for it at the door.,C1,A,clear,Filler,F20,,,13,-2,6997,2,The package was delivered to the neighbour.,28,2,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,It was raining heavily outside.,The children like eating pasta.,C1,A,It was raining heavily outside.,C1,A,clear,Filler,F01,,,13,-3,2771,3,The children stayed inside all day.,29,1,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,The clothes hanger in the hallway had been removed.,He put some on the clothes hanger in the hallway too.,C1,A,The clothes hanger in the hallway had been removed.,C2,B,,Adjunct,74,,13,13,-2,10609,-2,Chris put the coats in the wardrobe.,30,2,critical,neutral,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,The main topics had already been covered.,The lecturer has taught there for years.,C1,B,The main topics had already been covered.,C1,B,clear,Filler,F09,,,13,2,10901,2,The lecture ended earlier than expected.,31,6,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,Passengers were already waiting on the platform.,Some people checked the departure board for updates.,C1,A,Passengers were already waiting on the platform.,C1,A,clear,Filler,F16,,,13,-3,4925,3,The train arrived later than expected.,32,1,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C2,C1,She was the only one who spoke Turkish.,Nick talked to him during the ride to the hotel as well.,C1,B,She was the only one who spoke Turkish.,C1,B,,Subject,13,,13,13,2,3860,2,It was Sandra who spoke with the taxi driver.,33,6,critical,cleft,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
185,list 13,C1,C2,He now follows a different weekly schedule.,He now follows a mix of strength and cardio exercises.,C2,B,He now follows a mix of strength and cardio exercises.,C1,A,clear,Filler,F12,,,13,2,3802,-2,Daniel changed his workout routine.,34,6,filler,,[],13,Yes,,1,Teaching AI,1,English,Firefox,Windows,1080,1920,3.875066666666666,
112,list 13,C2,C1,Someone had opened the back door.,The alarm system was recently installed.,C1,B,Someone had opened the back door.,C1,B,clear,Filler,F02,,,13,2,8347,2,The alarm went off unexpectedly.,5,6,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,The ceramic ones were chipped.,He set out some ceramic ones as well.,C1,B,The ceramic ones were chipped.,C1,B,,Adjective,58,,13,13,2,8731,2,It was wooden trays that Mert used for the buffet.,6,6,critical,cleft,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,He spent the evening in the kitchen preparing the meal.,He prepared a simple meal using vegetables and pasta.,C2,A,He prepared a simple meal using vegetables and pasta.,C1,B,clear,Filler,F15,,,13,-1,12532,-1,Tom cooked dinner for everyone.,7,3,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,He didn't have any time to clean it.,He also cleaned it.,C1,A,He didn't have any time to clean it.,C1,A,,VP,28,,13,13,-1,13602,1,It was annotating the dataset that Alex was engaged in.,8,3,critical,cleft,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,She set up her laptop at the kitchen table.,She logged into her email shortly after starting her day.,C1,A,She set up her laptop at the kitchen table.,C1,A,clear,Filler,F17,,,13,-2,9132,2,Laura decided to work from home.,9,2,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,It had been shipped earlier than planned.,The delivery service operates every day.,C1,A,It had been shipped earlier than planned.,C1,A,clear,Filler,F10,,,13,-2,10833,2,The package arrived in the morning.,10,2,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,She was the only one who spoke Turkish.,Nick talked to him during the ride to the hotel as well.,C1,B,She was the only one who spoke Turkish.,C1,B,,Subject,13,,13,13,3,7132,3,It was Sandra who spoke with the taxi driver.,11,7,critical,cleft,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,She spent some time comparing different models.,She spent some time browsing different brands and designs.,C1,A,She spent some time comparing different models.,C1,A,clear,Filler,F11,,,13,-1,20384,1,Lena bought a new laptop last week.,12,3,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,He found the white ones too dull.,He added a stack of white ones too.,C1,A,He found the white ones too dull.,C1,A,,Adjective,59,,13,13,-3,7398,3,Tom placed colourful napkins on the table.,13,1,critical,neutral,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,He now follows a different weekly schedule.,He now follows a mix of strength and cardio exercises.,C2,A,He now follows a mix of strength and cardio exercises.,C1,B,clear,Filler,F12,,,13,-2,11498,-2,Daniel changed his workout routine.,14,2,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,A large group had made a reservation.,The restaurant has a long menu.,C1,A,A large group had made a reservation.,C1,A,clear,Filler,F08,,,13,-3,6533,3,The restaurant was fully booked.,15,1,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,No one else in his family knew how to do it.,His sister helped him.,C1,A,No one else in his family knew how to do it.,C1,A,,Subject,14,,13,13,-2,8515,2,Albert set up the new TV.,16,2,critical,neutral,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,The main topics had already been covered.,The lecturer has taught there for years.,C1,B,The main topics had already been covered.,C1,B,clear,Filler,F09,,,13,2,6484,2,The lecture ended earlier than expected.,17,6,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,The sofa couldn't be moved.,She also moved the sofa.,NEUTRAL,NEUTRAL,,C1,A,,Object,44,,13,13,0,27083,0,Caroline rearranged the chairs.,18,4,critical,neutral,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,He attached the bookmark on top.,He wrapped the bookmark too.,C1,B,He attached the bookmark on top.,C1,B,,Object,43,,13,13,1,10934,1,It was the book that Ray wrapped.,19,5,critical,cleft,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,The new space has a larger dining area.,The interior features modern decor and bright lighting.,C1,B,The new space has a larger dining area.,C1,B,clear,Filler,F18,,,13,2,13100,2,The restaurant opened a new location.,20,6,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,There was no space left in the fridge.,She also left some on the counter.,C1,B,There was no space left in the fridge.,C1,B,,Adjunct,73,,13,13,2,9533,2,It was in the freezer that Chloe stored the leftovers.,21,6,critical,cleft,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,She settled in and looked out as the plane prepared for take-off.,The seat was next to the wing and close to the aisle.,C1,B,She settled in and looked out as the plane prepared for take-off.,C1,B,clear,Filler,F13,,,13,3,15966,3,Sophie chose the window seat.,22,7,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,There was a power outage in the area.,The shop sells clothing and shoes.,C1,A,There was a power outage in the area.,C1,A,clear,Filler,F05,,,13,-2,6450,2,The shop closed early that evening.,23,2,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,Their backpacks were already packed by the door.,They gathered their things in the living room.,C2,B,They gathered their things in the living room.,C1,A,clear,Filler,F19,,,13,1,21583,-1,The children finished their homework early.,24,5,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,He needed something to stay awake.,Coffee is served in many cafés.,C1,A,He needed something to stay awake.,C1,A,clear,Filler,F07,,,13,-3,5866,3,Jonas ordered a coffee.,25,1,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,It was raining heavily outside.,The children like eating pasta.,C1,A,It was raining heavily outside.,C1,A,clear,Filler,F01,,,13,-3,5466,3,The children stayed inside all day.,26,1,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,He left the house later than usual.,The bus route passes through the city centre.,C1,B,He left the house later than usual.,C1,B,clear,Filler,F03,,,13,3,6700,3,Alex missed the bus.,27,7,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,He carried it over his arm as he left the house.,It was a lightweight jacket he often carries in his bag.,C1,A,He carried it over his arm as he left the house.,C1,A,clear,Filler,F14,,,13,-1,15450,1,Max brought a jacket with him.,28,3,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,The clothes hanger in the hallway had been removed.,He put some on the clothes hanger in the hallway too.,C1,A,The clothes hanger in the hallway had been removed.,C1,A,,Adjunct,74,,13,13,-2,10816,2,Chris put the coats in the wardrobe.,29,2,critical,neutral,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,There were technical issues with the sound system.,The band practices every week.,C1,B,There were technical issues with the sound system.,C1,B,clear,Filler,F04,,,13,3,5849,3,The concert started later than planned.,30,7,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,She couldn't mop it due to her busy schedule.,She also mopped it.,C1,B,She couldn't mop it due to her busy schedule.,C1,B,,VP,29,,13,13,2,8767,2,Sally was busy with vacuuming the guest room.,31,6,critical,neutral,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,She wanted to ask the teacher a question.,The classroom has large windows.,C1,B,She wanted to ask the teacher a question.,C1,B,clear,Filler,F06,,,13,3,4315,3,Mia stayed after class.,32,7,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C2,C1,Passengers were already waiting on the platform.,Some people checked the departure board for updates.,C2,A,Some people checked the departure board for updates.,C1,B,clear,Filler,F16,,,13,-1,18033,-1,The train arrived later than expected.,33,3,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
112,list 13,C1,C2,The neighbour signed for it at the door.,It was later placed in the hallway by the entrance.,C1,A,The neighbour signed for it at the door.,C1,A,clear,Filler,F20,,,13,-2,7566,2,The package was delivered to the neighbour.,34,2,filler,,[],13,Yes,,2,"I'm not sure, possibly communication / miscommunication ",1,English,Chrome,Mac,1107,1710,6.985216666666667,
132,list 13,C2,C1,The main topics had already been covered.,The lecturer has taught there for years.,C1,B,The main topics had already been covered.,C1,B,clear,Filler,F09,,,13,2,9227,2,The lecture ended earlier than expected.,5,6,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,She wanted to ask the teacher a question.,The classroom has large windows.,C1,A,She wanted to ask the teacher a question.,C1,A,clear,Filler,F06,,,13,-3,5370,3,Mia stayed after class.,6,1,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,The clothes hanger in the hallway had been removed.,He put some on the clothes hanger in the hallway too.,C2,B,He put some on the clothes hanger in the hallway too.,C2,B,,Adjunct,74,,13,13,1,29855,1,Chris put the coats in the wardrobe.,7,5,critical,neutral,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,The neighbour signed for it at the door.,It was later placed in the hallway by the entrance.,C1,A,The neighbour signed for it at the door.,C1,A,clear,Filler,F20,,,13,-2,10664,2,The package was delivered to the neighbour.,8,2,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,He needed something to stay awake.,Coffee is served in many cafés.,C1,A,He needed something to stay awake.,C1,A,clear,Filler,F07,,,13,-3,4873,3,Jonas ordered a coffee.,9,1,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,He now follows a different weekly schedule.,He now follows a mix of strength and cardio exercises.,C2,B,He now follows a mix of strength and cardio exercises.,C1,A,clear,Filler,F12,,,13,1,8708,-1,Daniel changed his workout routine.,10,5,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,Their backpacks were already packed by the door.,They gathered their things in the living room.,C2,A,They gathered their things in the living room.,C1,B,clear,Filler,F19,,,13,-2,12908,-2,The children finished their homework early.,11,2,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,He left the house later than usual.,The bus route passes through the city centre.,C1,B,He left the house later than usual.,C1,B,clear,Filler,F03,,,13,2,5824,2,Alex missed the bus.,12,6,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,No one else in his family knew how to do it.,His sister helped him.,C1,B,No one else in his family knew how to do it.,C2,A,,Subject,14,,13,13,2,9334,-2,Albert set up the new TV.,13,6,critical,neutral,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,There was no space left in the fridge.,She also left some on the counter.,C1,A,There was no space left in the fridge.,C1,A,,Adjunct,73,,13,13,-2,7743,2,It was in the freezer that Chloe stored the leftovers.,14,2,critical,cleft,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,She was the only one who spoke Turkish.,Nick talked to him during the ride to the hotel as well.,C1,B,She was the only one who spoke Turkish.,C1,B,,Subject,13,,13,13,2,6034,2,It was Sandra who spoke with the taxi driver.,15,6,critical,cleft,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,She couldn't mop it due to her busy schedule.,She also mopped it.,C1,B,She couldn't mop it due to her busy schedule.,C2,A,,VP,29,,13,13,1,9606,-1,Sally was busy with vacuuming the guest room.,16,5,critical,neutral,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,The new space has a larger dining area.,The interior features modern decor and bright lighting.,C1,A,The new space has a larger dining area.,C1,A,clear,Filler,F18,,,13,-1,13680,1,The restaurant opened a new location.,17,3,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,It had been shipped earlier than planned.,The delivery service operates every day.,C1,B,It had been shipped earlier than planned.,C1,B,clear,Filler,F10,,,13,1,8120,1,The package arrived in the morning.,18,5,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,There were technical issues with the sound system.,The band practices every week.,C1,B,There were technical issues with the sound system.,C1,B,clear,Filler,F04,,,13,3,6125,3,The concert started later than planned.,19,7,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,The sofa couldn't be moved.,She also moved the sofa.,C2,B,She also moved the sofa.,C2,B,,Object,44,,13,13,1,7797,1,Caroline rearranged the chairs.,20,5,critical,neutral,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,He carried it over his arm as he left the house.,It was a lightweight jacket he often carries in his bag.,C2,B,It was a lightweight jacket he often carries in his bag.,C1,A,clear,Filler,F14,,,13,1,14573,-1,Max brought a jacket with him.,21,5,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,The ceramic ones were chipped.,He set out some ceramic ones as well.,C1,B,The ceramic ones were chipped.,C1,B,,Adjective,58,,13,13,1,9921,1,It was wooden trays that Mert used for the buffet.,22,5,critical,cleft,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,Someone had opened the back door.,The alarm system was recently installed.,C1,B,Someone had opened the back door.,C1,B,clear,Filler,F02,,,13,2,4749,2,The alarm went off unexpectedly.,23,6,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,He found the white ones too dull.,He added a stack of white ones too.,C1,A,He found the white ones too dull.,C2,B,,Adjective,59,,13,13,-2,5517,-2,Tom placed colourful napkins on the table.,24,2,critical,neutral,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C1,C2,She spent some time comparing different models.,She spent some time browsing different brands and designs.,NEUTRAL,NEUTRAL,,C1,A,clear,Filler,F11,,,13,0,6923,0,Lena bought a new laptop last week.,25,4,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,He attached the bookmark on top.,He wrapped the bookmark too.,C1,B,He attached the bookmark on top.,C1,B,,Object,43,,13,13,1,8868,1,It was the book that Ray wrapped.,26,5,critical,cleft,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,It was raining heavily outside.,The children like eating pasta.,C1,B,It was raining heavily outside.,C1,B,clear,Filler,F01,,,13,2,6426,2,The children stayed inside all day.,27,6,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,He spent the evening in the kitchen preparing the meal.,He prepared a simple meal using vegetables and pasta.,C1,B,He spent the evening in the kitchen preparing the meal.,C1,B,clear,Filler,F15,,,13,1,11380,1,Tom cooked dinner for everyone.,28,5,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,He didn't have any time to clean it.,He also cleaned it.,C1,B,He didn't have any time to clean it.,C1,B,,VP,28,,13,13,1,11912,1,It was annotating the dataset that Alex was engaged in.,29,5,critical,cleft,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,She settled in and looked out as the plane prepared for take-off.,The seat was next to the wing and close to the aisle.,C2,A,The seat was next to the wing and close to the aisle.,C1,B,clear,Filler,F13,,,13,-1,14767,-1,Sophie chose the window seat.,30,3,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
132,list 13,C2,C1,There was a power outage in the area.,The shop sells clothing and shoes.,C1,B,There was a power outage in the area.,C1,B,clear,Filler,F05,,,13,2,5626,2,The shop closed early that evening.,31,6,filler,,[],13,No,,1,,1,English,Chrome,Windows,1080,1920,5.4146833333333335,
