workerid,proliferate.condition,A_key,B_key,C1,C2,audio_error,audio_finished,audio_path,audio_play_count,audio_played,c1_option,chosen_key,chosen_option,chosen_text,cleft_sentence,expected_key,expected_option,filler_type,focused_sentence,group,item,item_feedback,item_list,list_assigned,neutral_sentence,raw_score,rt_ms,score_rel_c1,score_rel_expected,slide_number_in_experiment,slider_value,spoken_sentence,type,variant,catch_trials,list_assigned,subject_information.assess,subject_information.comments,subject_information.enjoyment,subject_information.experiment_about,subject_information.fairprice,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
460,list 3,C2,C1,The weather forecast was uncertain.,The jacket matched his shoes.,False,True,audio_filler/F14.wav,1,True,B,C1,B,The weather forecast was uncertain.,,,,nuanced,,Filler,F14,,,3,,3,6566,3,,15,7,Max brought a jacket with him.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,Her backpack was still empty.,She also packed her backpack.,False,True,audio/exp1_033_neutral.wav,1,True,B,C2,A,She also packed her backpack.,It was her suitcase that Lucy packed.,C2,A,,Lucy packed her SUITCASE.,Object,33,,3,3,Lucy packed her suitcase.,-3,9174,-3,3,16,1,,critical,neutral,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,He didn't know about the delivery drop-off at the back of the building.,He dropped a few packages at the back door as well.,False,True,audio/exp1_064_focus.wav,1,True,A,C1,A,He didn't know about the delivery drop-off at the back of the building.,It was at the front door that Sebastian dropped the packages.,C1,A,,Sebastian dropped the packages AT THE FRONT DOOR.,Adjunct,64,,3,3,Sebastian dropped the packages at the front door.,-3,7999,3,3,17,1,,critical,focus,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,He left the house later than usual.,The bus route passes through the city center.,False,True,audio_filler/F03.wav,1,True,B,C1,B,He left the house later than usual.,,C1,B,clear,,Filler,F03,,,3,,3,5767,3,3,18,7,Alex missed the bus.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,He needed something to stay awake.,Coffee is served in many cafes.,False,True,audio_filler/F07.wav,1,True,B,C1,B,He needed something to stay awake.,,C1,B,clear,,Filler,F07,,,3,,3,6232,3,3,19,7,Jonas ordered a coffee.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,She wasn't feeling very well.,She logged into her email that morning.,False,True,audio_filler/F17.wav,1,True,A,C2,B,She logged into her email that morning.,,,,nuanced,,Filler,F17,,,3,,3,6399,-3,,20,7,Laura decided to work from home.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,She likes having a view during the flight.,The window seat was still available.,False,True,audio_filler/F13.wav,1,True,B,C1,B,She likes having a view during the flight.,,,,nuanced,,Filler,F13,,,3,,3,6136,3,,21,7,Sophie chose the window seat.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,She had lost her printed one.,She also scanned a printed version.,False,True,audio/exp1_048_neutral.wav,1,True,A,C1,A,She had lost her printed one.,It was the digital ticket that Sarah scanned.,C2,B,,Sarah scanned the DIGITAL ticket.,Adjective,48,,3,3,Sarah scanned the digital ticket.,-3,8671,3,-3,22,1,,critical,neutral,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,There were technical issues with the sound system.,The band practices every week.,False,True,audio_filler/F04.wav,1,True,B,C1,B,There were technical issues with the sound system.,,C1,B,clear,,Filler,F04,,,3,,3,5734,3,3,23,7,The concert started later than planned.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,The rest of the family was busy in the kitchen.,His cousin gave him a hand.,False,True,audio/exp1_003_neutral.wav,1,True,B,C1,B,The rest of the family was busy in the kitchen.,It was Gaurav who set up the Christmas tree.,C2,A,,GAURAV set up the Christmas tree.,Subject,3,,3,3,Gaurav set up the Christmas tree.,3,7322,3,-3,24,7,,critical,neutral,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,There had been an accident on the tracks earlier.,The train usually arrives on time.,False,True,audio_filler/F16.wav,1,True,A,C1,A,There had been an accident on the tracks earlier.,,,,nuanced,,Filler,F16,,,3,,-3,6455,3,,25,1,The train arrived later than expected.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,The main topics had already been covered.,The lecturer has taught there for years.,False,True,audio_filler/F09.wav,1,True,A,C1,A,The main topics had already been covered.,,C1,A,clear,,Filler,F09,,,3,,-3,7767,3,3,26,1,The lecture ended earlier than expected.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,She didn’t have time before leaving home.,She also reviewed them again at the office.,False,True,audio/exp1_063_neutral.wav,1,True,B,C1,B,She didn’t have time before leaving home.,It was on the train that Marie reviewed her notes.,C2,A,,Marie reviewed her notes ON THE TRAIN.,Adjunct,63,,3,3,Marie reviewed her notes on the train.,3,14045,3,-3,27,7,,critical,neutral,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,There was a power outage in the area.,The shop sells clothing and shoes.,False,True,audio_filler/F05.wav,1,True,B,C1,B,There was a power outage in the area.,,C1,B,clear,,Filler,F05,,,3,,3,7242,3,3,28,7,The shop closed early that evening.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,He really has the most beautiful handwriting of them all.,Marie wrote a couple as well.,False,True,audio/exp1_004_focus.wav,1,True,B,C2,A,Marie wrote a couple as well.,It was Nick who wrote the thank-you cards.,C1,B,,NICK wrote the thank-you cards.,Subject,4,,3,3,Nick wrote the thank-you cards.,-3,8420,-3,-3,29,1,,critical,focus,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,They wanted to go outside and play.,Their homework was not very long.,False,True,audio_filler/F19.wav,1,True,A,C1,A,They wanted to go outside and play.,,,,nuanced,,Filler,F19,,,3,,-3,11031,3,,30,1,The children finished their homework early.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,His old one had become too repetitive.,He exercises several times a week.,False,True,audio_filler/F12.wav,1,True,A,C1,A,His old one had become too repetitive.,,,,nuanced,,Filler,F12,,,3,,-3,6705,3,,31,1,Daniel changed his workout routine.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C1,C2,He enjoys trying out new recipes.,He used ingredients he already had at home.,False,True,audio_filler/F15.wav,1,True,A,C1,A,He enjoys trying out new recipes.,,,,nuanced,,Filler,F15,,,3,,-3,4835,3,,32,1,Tom cooked dinner for everyone.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,Her old one had stopped working completely.,She compared several models online beforehand.,False,True,audio_filler/F11.wav,1,True,B,C1,B,Her old one had stopped working completely.,,,,nuanced,,Filler,F11,,,3,,3,9990,3,,33,7,Lena bought a new laptop last week.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
460,list 3,C2,C1,She wanted to ask the teacher a question.,The classroom has large windows.,False,True,audio_filler/F06.wav,1,True,B,C1,B,She wanted to ask the teacher a question.,,C1,B,clear,,Filler,F06,,,3,,3,5225,3,3,34,7,Mia stayed after class.,filler,filler,[],3,Yes,,1,,1,english,Chrome,Windows,661,1175,5.7523,
445,list 3,C1,C2,She didn’t have time before leaving home.,She also reviewed them again at the office.,False,True,audio/exp1_063_neutral.wav,1,True,A,NEUTRAL,NEUTRAL,,It was on the train that Marie reviewed her notes.,C2,B,,Marie reviewed her notes ON THE TRAIN.,Adjunct,63,,3,3,Marie reviewed her notes on the train.,0,10640,0,0,5,4,,critical,neutral,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,They wouldn't have been able to handle the spicy one.,He also cooked a pot of spicy curry for them.,False,True,audio/exp1_049_focus.wav,1,True,A,C1,A,They wouldn't have been able to handle the spicy one.,It was a mild curry that Gaurav cooked for his friends.,C1,A,,Gaurav cooked a MILD curry for his friends.,Adjective,49,,3,3,Gaurav cooked a mild curry for his friends.,-2,11047,2,2,6,2,,critical,focus,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,The weather forecast was uncertain.,The jacket matched his shoes.,False,True,audio_filler/F14.wav,1,True,B,C2,A,The jacket matched his shoes.,,,,nuanced,,Filler,F14,,,3,,-1,7850,-1,,7,3,Max brought a jacket with him.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,She wanted to ask the teacher a question.,The classroom has large windows.,False,True,audio_filler/F06.wav,1,True,B,C1,B,She wanted to ask the teacher a question.,,C1,B,clear,,Filler,F06,,,3,,3,6952,3,3,8,7,Mia stayed after class.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,His old one had become too repetitive.,He exercises several times a week.,False,True,audio_filler/F12.wav,1,True,B,C1,B,His old one had become too repetitive.,,,,nuanced,,Filler,F12,,,3,,2,6545,2,,9,6,Daniel changed his workout routine.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,A large group had made a reservation.,The restaurant has a long menu.,False,True,audio_filler/F08.wav,1,True,A,C1,A,A large group had made a reservation.,,C1,A,clear,,Filler,F08,,,3,,-3,9877,3,3,10,1,The restaurant was fully booked.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,The main topics had already been covered.,The lecturer has taught there for years.,False,True,audio_filler/F09.wav,1,True,A,C1,A,The main topics had already been covered.,,C1,A,clear,,Filler,F09,,,3,,-3,8270,3,3,11,1,The lecture ended earlier than expected.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,She likes having a view during the flight.,The window seat was still available.,False,True,audio_filler/F13.wav,1,True,B,C1,B,She likes having a view during the flight.,,,,nuanced,,Filler,F13,,,3,,3,5667,3,,12,7,Sophie chose the window seat.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,She wasn't feeling very well.,She logged into her email that morning.,False,True,audio_filler/F17.wav,1,True,A,C1,A,She wasn't feeling very well.,,,,nuanced,,Filler,F17,,,3,,-2,8232,2,,13,2,Laura decided to work from home.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,It had been shipped earlier than planned.,The delivery service operates every day.,False,True,audio_filler/F10.wav,1,True,B,C1,B,It had been shipped earlier than planned.,,C1,B,clear,,Filler,F10,,,3,,3,5917,3,3,14,7,The package arrived in the morning.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,He hadn’t had time to read it.,He was also reading it.,False,True,audio/exp1_019_focus.wav,1,True,B,C1,B,He hadn’t had time to read it.,It was printing the report that Gaurav was busy with.,C1,B,,Gaurav was busy PRINTING THE REPORT.,VP,19,,3,3,Gaurav was busy printing the report.,1,11671,1,1,15,5,,critical,focus,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,He needed something to stay awake.,Coffee is served in many cafes.,False,True,audio_filler/F07.wav,1,True,B,C1,B,He needed something to stay awake.,,C1,B,clear,,Filler,F07,,,3,,3,5566,3,3,16,7,Jonas ordered a coffee.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,She had lost her printed one.,She also scanned a printed version.,False,True,audio/exp1_048_neutral.wav,1,True,B,C2,A,She also scanned a printed version.,It was the digital ticket that Sarah scanned.,C2,A,,Sarah scanned the DIGITAL ticket.,Adjective,48,,3,3,Sarah scanned the digital ticket.,-1,15311,-1,1,17,3,,critical,neutral,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,His friend was the one who had set it up.,He had also set it up.,False,True,audio/exp1_018_neutral.wav,1,True,A,NEUTRAL,NEUTRAL,,It was organizing the storage shelf that Nick was busy with.,C2,B,,Nick was busy ORGANISING the storage shelf.,VP,18,,3,3,Nick was busy organizing the storage shelf.,0,10604,0,0,18,4,,critical,neutral,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,He really has the most beautiful handwriting of them all.,Marie wrote a couple as well.,False,True,audio/exp1_004_focus.wav,1,True,A,NEUTRAL,NEUTRAL,,It was Nick who wrote the thank-you cards.,C1,A,,NICK wrote the thank-you cards.,Subject,4,,3,3,Nick wrote the thank-you cards.,0,9613,0,0,19,4,,critical,focus,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,No one was home at the time.,The neighbor lives next door.,False,True,audio_filler/F20.wav,1,True,A,C1,A,No one was home at the time.,,,,nuanced,,Filler,F20,,,3,,-3,8385,3,,20,1,The package was delivered to the neighbor.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,They wanted to go outside and play.,Their homework was not very long.,False,True,audio_filler/F19.wav,1,True,B,C1,B,They wanted to go outside and play.,,,,nuanced,,Filler,F19,,,3,,2,7649,2,,21,6,The children finished their homework early.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,The hinges seemed fine to him.,He fixed the hinges as well.,False,True,audio/exp1_034_focus.wav,1,True,A,C2,B,He fixed the hinges as well.,It was the door handle that Ryan fixed.,C1,A,,Ryan fixed the DOOR HANDLE.,Object,34,,3,3,Ryan fixed the door handle.,2,9996,-2,-2,22,6,,critical,focus,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,It was raining heavily outside.,The children like eating pasta.,False,True,audio_filler/F01.wav,1,True,A,C1,A,It was raining heavily outside.,,C1,A,clear,,Filler,F01,,,3,,-3,6906,3,3,23,1,The children stayed inside all day.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,There were technical issues with the sound system.,The band practices every week.,False,True,audio_filler/F04.wav,1,True,B,C1,B,There were technical issues with the sound system.,,C1,B,clear,,Filler,F04,,,3,,3,6905,3,3,24,7,The concert started later than planned.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,The rest of the family was busy in the kitchen.,His cousin gave him a hand.,False,True,audio/exp1_003_neutral.wav,1,True,B,NEUTRAL,NEUTRAL,,It was Gaurav who set up the Christmas tree.,C2,A,,GAURAV set up the Christmas tree.,Subject,3,,3,3,Gaurav set up the Christmas tree.,0,7422,0,0,25,4,,critical,neutral,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,Someone had opened the back door.,The alarm system was recently installed.,False,True,audio_filler/F02.wav,1,True,B,C1,B,Someone had opened the back door.,,C1,B,clear,,Filler,F02,,,3,,1,8060,1,1,26,5,The alarm went off unexpectedly.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,There was a power outage in the area.,The shop sells clothing and shoes.,False,True,audio_filler/F05.wav,1,True,B,C1,B,There was a power outage in the area.,,C1,B,clear,,Filler,F05,,,3,,3,5328,3,3,27,7,The shop closed early that evening.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,Her backpack was still empty.,She also packed her backpack.,False,True,audio/exp1_033_neutral.wav,1,True,B,C1,B,Her backpack was still empty.,It was her suitcase that Lucy packed.,C2,A,,Lucy packed her SUITCASE.,Object,33,,3,3,Lucy packed her suitcase.,1,8626,1,-1,28,5,,critical,neutral,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,There had been an accident on the tracks earlier.,The train usually arrives on time.,False,True,audio_filler/F16.wav,1,True,B,C1,B,There had been an accident on the tracks earlier.,,,,nuanced,,Filler,F16,,,3,,2,6752,2,,29,6,The train arrived later than expected.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,He left the house later than usual.,The bus route passes through the city center.,False,True,audio_filler/F03.wav,1,True,A,C1,A,He left the house later than usual.,,C1,A,clear,,Filler,F03,,,3,,-3,6137,3,3,30,1,Alex missed the bus.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,Her old one had stopped working completely.,She compared several models online beforehand.,False,True,audio_filler/F11.wav,1,True,A,NEUTRAL,NEUTRAL,,,,,nuanced,,Filler,F11,,,3,,0,9422,0,,31,4,Lena bought a new laptop last week.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C1,C2,The original one had become very popular.,The new location is closer to the city center.,False,True,audio_filler/F18.wav,1,True,A,NEUTRAL,NEUTRAL,,,,,nuanced,,Filler,F18,,,3,,0,11603,0,,32,4,The restaurant opened a new location.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,He didn't know about the delivery drop-off at the back of the building.,He dropped a few packages at the back door as well.,False,True,audio/exp1_064_focus.wav,1,True,B,C1,B,He didn't know about the delivery drop-off at the back of the building.,It was at the front door that Sebastian dropped the packages.,C1,B,,Sebastian dropped the packages AT THE FRONT DOOR.,Adjunct,64,,3,3,Sebastian dropped the packages at the front door.,2,9834,2,2,33,6,,critical,focus,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
445,list 3,C2,C1,He enjoys trying out new recipes.,He used ingredients he already had at home.,False,True,audio_filler/F15.wav,1,True,B,C1,B,He enjoys trying out new recipes.,,,,nuanced,,Filler,F15,,,3,,1,6391,1,,34,5,Tom cooked dinner for everyone.,filler,filler,[],3,Yes,,2,Ai training,1,English,Firefox,Windows,1080,1920,6.107383333333333,
430,list 3,C1,C2,He hadn’t had time to read it.,He was also reading it.,False,True,audio/exp1_019_focus.wav,1,True,A,C1,A,He hadn’t had time to read it.,It was printing the report that Gaurav was busy with.,C1,A,,Gaurav was busy PRINTING THE REPORT.,VP,19,,3,3,Gaurav was busy printing the report.,-3,8565,3,3,5,1,,critical,focus,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C1,C2,He didn't know about the delivery drop-off at the back of the building.,He dropped a few packages at the back door as well.,False,True,audio/exp1_064_focus.wav,1,True,A,C2,B,He dropped a few packages at the back door as well.,It was at the front door that Sebastian dropped the packages.,C1,A,,Sebastian dropped the packages AT THE FRONT DOOR.,Adjunct,64,,3,3,Sebastian dropped the packages at the front door.,3,7336,-3,-3,6,7,,critical,focus,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C1,C2,There was a power outage in the area.,The shop sells clothing and shoes.,False,True,audio_filler/F05.wav,1,True,A,C2,B,The shop sells clothing and shoes.,,C1,A,clear,,Filler,F05,,,3,,3,4519,-3,-3,7,7,The shop closed early that evening.,filler,filler,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C1,C2,He needed something to stay awake.,Coffee is served in many cafes.,False,True,audio_filler/F07.wav,1,True,A,C1,A,He needed something to stay awake.,,C1,A,clear,,Filler,F07,,,3,,-3,4710,3,3,8,1,Jonas ordered a coffee.,filler,filler,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C2,C1,She didn’t have time before leaving home.,She also reviewed them again at the office.,False,True,audio/exp1_063_neutral.wav,1,True,B,C1,B,She didn’t have time before leaving home.,It was on the train that Marie reviewed her notes.,C2,A,,Marie reviewed her notes ON THE TRAIN.,Adjunct,63,,3,3,Marie reviewed her notes on the train.,2,6096,2,-2,9,6,,critical,neutral,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C2,C1,A large group had made a reservation.,The restaurant has a long menu.,False,True,audio_filler/F08.wav,1,True,B,C1,B,A large group had made a reservation.,,C1,B,clear,,Filler,F08,,,3,,3,5433,3,3,10,7,The restaurant was fully booked.,filler,filler,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C2,C1,She wasn't feeling very well.,She logged into her email that morning.,False,True,audio_filler/F17.wav,1,True,B,C1,B,She wasn't feeling very well.,,,,nuanced,,Filler,F17,,,3,,3,6012,3,,11,7,Laura decided to work from home.,filler,filler,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C1,C2,The main topics had already been covered.,The lecturer has taught there for years.,False,True,audio_filler/F09.wav,1,True,A,C1,A,The main topics had already been covered.,,C1,A,clear,,Filler,F09,,,3,,-3,4567,3,3,12,1,The lecture ended earlier than expected.,filler,filler,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C2,C1,Someone had opened the back door.,The alarm system was recently installed.,False,True,audio_filler/F02.wav,1,True,B,C1,B,Someone had opened the back door.,,C1,B,clear,,Filler,F02,,,3,,2,5136,2,2,13,6,The alarm went off unexpectedly.,filler,filler,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C1,C2,There had been an accident on the tracks earlier.,The train usually arrives on time.,False,True,audio_filler/F16.wav,1,True,A,C1,A,There had been an accident on the tracks earlier.,,,,nuanced,,Filler,F16,,,3,,-2,7832,2,,14,2,The train arrived later than expected.,filler,filler,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C1,C2,There were technical issues with the sound system.,The band practices every week.,False,True,audio_filler/F04.wav,1,True,A,C1,A,There were technical issues with the sound system.,,C1,A,clear,,Filler,F04,,,3,,-3,5112,3,3,15,1,The concert started later than planned.,filler,filler,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C1,C2,Her backpack was still empty.,She also packed her backpack.,False,True,audio/exp1_033_neutral.wav,1,True,A,C2,B,She also packed her backpack.,It was her suitcase that Lucy packed.,C2,B,,Lucy packed her SUITCASE.,Object,33,,3,3,Lucy packed her suitcase.,2,7823,-2,2,16,6,,critical,neutral,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
430,list 3,C2,C1,The hinges seemed fine to him.,He fixed the hinges as well.,False,True,audio/exp1_034_focus.wav,2,True,B,C1,B,The hinges seemed fine to him.,It was the door handle that Ryan fixed.,C1,B,,Ryan fixed the DOOR HANDLE.,Object,34,,3,3,Ryan fixed the door handle.,1,9501,1,1,17,5,,critical,focus,[],3,No,,2,LLM training,1,English,Chrome,Windows,900,1600,4.624816666666667,
